epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,898.308,0.49988,0.35525,0.00538,0.95706,1,0.99301,0.91217,0.46385,0.1883,0.0063,0.000889221,0.000889221,0.000889221
78,908.157,0.50701,0.32604,0.00632,0.97675,1,0.9946,0.93624,0.40141,0.17357,0.00492,0.000886404,0.000886404,0.000886404
79,920.506,0.55486,0.36122,0.00562,1,0.99992,0.995,0.90226,0.48248,0.15771,0.00619,0.000883557,0.000883557,0.000883557
80,931.995,0.55498,0.38903,0.00605,0.99126,1,0.995,0.92017,0.41587,0.17251,0.00536,0.000880679,0.000880679,0.000880679
81,943.091,0.55561,0.34074,0.00569,0.9782,1,0.9934,0.9274,0.42506,0.16121,0.00592,0.00087777,0.00087777,0.00087777
82,954.272,0.53162,0.42795,0.00564,0.96069,0.99767,0.99343,0.92717,0.39739,0.1761,0.00503,0.000874832,0.000874832,0.000874832
83,966.683,0.51155,0.34564,0.00555,0.99361,0.93878,0.99091,0.90285,0.45902,0.19924,0.00604,0.000871864,0.000871864,0.000871864
84,978.135,0.53669,0.40864,0.00593,0.99409,1,0.995,0.89552,0.51685,0.16827,0.00765,0.000868866,0.000868866,0.000868866
85,989.105,0.6553,0.48695,0.00682,0.99824,0.97959,0.99349,0.90224,0.50618,0.16999,0.00776,0.000865839,0.000865839,0.000865839
86,998.913,0.52634,0.3163,0.00569,0.99865,1,0.995,0.90118,0.45308,0.14272,0.00712,0.000862783,0.000862783,0.000862783
87,1010.95,0.55039,0.34558,0.00541,0.99832,1,0.995,0.89411,0.48367,0.15876,0.00764,0.000859699,0.000859699,0.000859699
88,1022.36,0.50094,0.3348,0.00506,1,0.99808,0.995,0.88043,0.52831,0.17155,0.00835,0.000856585,0.000856585,0.000856585
89,1032.79,0.5312,0.38816,0.00566,0.99943,1,0.995,0.92513,0.39504,0.13352,0.00504,0.000853443,0.000853443,0.000853443
90,1042.75,0.48197,0.29518,0.00512,0.99616,0.97959,0.99422,0.93202,0.35925,0.14068,0.00401,0.000850274,0.000850274,0.000850274
91,1053.61,0.50939,0.33313,0.0045,0.99969,1,0.995,0.92398,0.4379,0.14464,0.00564,0.000847076,0.000847076,0.000847076
92,1065.38,0.52227,0.34071,0.00529,0.9793,0.9657,0.99344,0.9224,0.41877,0.16233,0.00516,0.000843851,0.000843851,0.000843851
93,1074.93,0.51667,0.35268,0.00511,0.98951,0.93878,0.9919,0.91223,0.45007,0.20733,0.00596,0.000840598,0.000840598,0.000840598
94,1086.15,0.48166,0.29331,0.00528,0.97717,1,0.9946,0.92608,0.41614,0.14765,0.00529,0.000837319,0.000837319,0.000837319
95,1097.25,0.47025,0.3138,0.00493,0.95788,1,0.99381,0.92773,0.41219,0.15004,0.00524,0.000834012,0.000834012,0.000834012
96,1107.39,0.54034,0.31304,0.00591,0.97756,1,0.9942,0.9345,0.36947,0.13723,0.00439,0.00083068,0.00083068,0.00083068
97,1117.55,0.49485,0.33423,0.00551,0.96065,0.99661,0.9934,0.89501,0.44672,0.16692,0.00524,0.000827321,0.000827321,0.000827321
98,1128.95,0.48465,0.32629,0.00518,0.97187,0.97959,0.99221,0.92677,0.36122,0.15451,0.00469,0.000823936,0.000823936,0.000823936
99,1140.55,0.46127,0.27919,0.0049,0.97945,0.97959,0.99349,0.92609,0.36666,0.15324,0.00482,0.000820525,0.000820525,0.000820525
100,1150.59,0.49521,0.31553,0.00555,0.96063,0.99605,0.99301,0.89375,0.49536,0.1892,0.0079,0.000817089,0.000817089,0.000817089
101,1161.06,0.51298,0.29301,0.00628,0.99528,0.95918,0.9911,0.91624,0.45467,0.18937,0.00649,0.000813627,0.000813627,0.000813627
102,1172.64,0.51396,0.37751,0.00558,0.99836,1,0.995,0.90905,0.45059,0.15662,0.00688,0.000810141,0.000810141,0.000810141
103,1182.96,0.52239,0.30271,0.00577,1,0.99745,0.995,0.92574,0.42248,0.14247,0.00536,0.000806631,0.000806631,0.000806631
104,1193.31,0.49494,0.31089,0.0052,0.99699,0.95918,0.99231,0.93522,0.39164,0.15565,0.00533,0.000803096,0.000803096,0.000803096
105,1204.56,0.49257,0.31361,0.00476,0.99814,0.97959,0.9946,0.92646,0.40718,0.13494,0.00504,0.000799536,0.000799536,0.000799536
106,1215.14,0.48099,0.3218,0.00522,0.99861,1,0.995,0.9331,0.41901,0.13657,0.00523,0.000795954,0.000795954,0.000795954
107,1225.48,0.51274,0.28855,0.00476,0.99808,1,0.995,0.93723,0.38129,0.12373,0.00455,0.000792347,0.000792347,0.000792347
108,1236.44,0.46294,0.27708,0.0054,1,0.97659,0.9946,0.93,0.4189,0.14033,0.00577,0.000788718,0.000788718,0.000788718
109,1248.33,0.52001,0.3282,0.0054,0.99755,1,0.995,0.93107,0.39895,0.12457,0.00577,0.000785066,0.000785066,0.000785066
110,1258.67,0.44837,0.28512,0.00469,0.99545,1,0.995,0.94464,0.37032,0.13081,0.00512,0.000781391,0.000781391,0.000781391
111,1269.17,0.50345,0.29827,0.00524,1,0.97581,0.99315,0.92289,0.42559,0.17748,0.00579,0.000777694,0.000777694,0.000777694
112,1280.61,0.51401,0.31718,0.00543,0.97989,0.99445,0.9938,0.92042,0.38247,0.17769,0.00471,0.000773975,0.000773975,0.000773975
113,1293.79,0.48282,0.3641,0.00468,0.98768,0.95918,0.99274,0.91966,0.38841,0.19385,0.00475,0.000770234,0.000770234,0.000770234
114,1305.7,0.52518,0.33969,0.00531,0.99994,0.97959,0.99315,0.93338,0.37971,0.16164,0.00469,0.000766472,0.000766472,0.000766472
115,1317.23,0.52214,0.29497,0.00521,0.99996,1,0.995,0.94606,0.35704,0.12608,0.00517,0.000762689,0.000762689,0.000762689
116,1327.98,0.46565,0.25648,0.00478,0.97824,1,0.9946,0.91784,0.40046,0.1534,0.00585,0.000758885,0.000758885,0.000758885
117,1338.96,0.43702,0.31157,0.00431,0.99665,1,0.995,0.93101,0.3709,0.13959,0.00497,0.000755061,0.000755061,0.000755061
118,1349.44,0.49512,0.34835,0.00522,0.97994,0.99695,0.9946,0.95011,0.36563,0.14143,0.00489,0.000751216,0.000751216,0.000751216
119,1359.71,0.47147,0.29036,0.00457,0.97868,1,0.9942,0.91888,0.44321,0.1703,0.00619,0.000747352,0.000747352,0.000747352
120,1371.11,0.48046,0.32737,0.00501,0.98397,1,0.995,0.93678,0.38232,0.14488,0.00452,0.000743468,0.000743468,0.000743468
121,1382.35,0.53554,0.29955,0.00566,0.99912,0.97959,0.99315,0.92798,0.37458,0.1582,0.00426,0.000739565,0.000739565,0.000739565
122,1392.09,0.46539,0.27452,0.00432,0.99452,1,0.995,0.93452,0.39132,0.12799,0.00509,0.000735643,0.000735643,0.000735643
123,1402.6,0.47151,0.28175,0.00454,0.99836,1,0.995,0.93134,0.41413,0.1353,0.00596,0.000731702,0.000731702,0.000731702
124,1413.51,0.45444,0.27809,0.00487,0.98,0.99995,0.9942,0.91723,0.43019,0.159,0.00578,0.000727744,0.000727744,0.000727744
125,1424.63,0.49087,0.32068,0.00511,0.9785,1,0.9946,0.92656,0.40291,0.14885,0.00529,0.000723767,0.000723767,0.000723767
126,1435.1,0.4114,0.26987,0.00407,0.97589,1,0.9946,0.9229,0.39026,0.1495,0.00486,0.000719772,0.000719772,0.000719772
127,1446.31,0.45727,0.28023,0.00415,1,0.99729,0.995,0.93091,0.37526,0.13437,0.00441,0.000715761,0.000715761,0.000715761
128,1457.23,0.4524,0.2655,0.00506,1,0.99011,0.995,0.92699,0.38737,0.13533,0.00456,0.000711732,0.000711732,0.000711732
129,1467.67,0.45503,0.27102,0.00492,0.99711,1,0.995,0.92304,0.38909,0.12794,0.00478,0.000707687,0.000707687,0.000707687
130,1478.39,0.46359,0.26575,0.00488,0.99878,0.95918,0.9917,0.92188,0.34279,0.16174,0.00399,0.000703625,0.000703625,0.000703625
131,1489.03,0.45574,0.29163,0.00518,0.99732,0.97959,0.9946,0.92253,0.41351,0.15434,0.00539,0.000699547,0.000699547,0.000699547
132,1499.4,0.45128,0.26556,0.00449,0.99847,1,0.995,0.92812,0.40116,0.15037,0.00481,0.000695454,0.000695454,0.000695454
133,1510.8,0.44122,0.24915,0.00459,1,0.99895,0.995,0.92172,0.38314,0.14312,0.00445,0.000691345,0.000691345,0.000691345
134,1523.07,0.43208,0.26757,0.00417,0.9984,1,0.995,0.93183,0.3671,0.12187,0.00467,0.000687222,0.000687222,0.000687222
135,1533.45,0.41555,0.26042,0.00454,0.99945,1,0.995,0.94856,0.38233,0.12696,0.00492,0.000683083,0.000683083,0.000683083
