epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,494.785,0.41814,0.41922,0.90363,0.99814,1,0.995,0.90499,0.36903,0.33211,0.87278,0.000918114,0.000918114,0.000918114
67,502.686,0.37064,0.37558,0.88331,0.99741,1,0.995,0.9269,0.35502,0.32207,0.87255,0.000915649,0.000915649,0.000915649
68,508.888,0.40968,0.374,0.90251,0.99728,1,0.995,0.9182,0.38441,0.33221,0.89014,0.000913152,0.000913152,0.000913152
69,517.28,0.39867,0.37772,0.90583,0.99727,1,0.995,0.92745,0.36295,0.31286,0.88304,0.000910622,0.000910622,0.000910622
70,524.313,0.41408,0.38798,0.91631,0.99848,1,0.995,0.93037,0.36277,0.32049,0.9035,0.000908059,0.000908059,0.000908059
71,532.262,0.40476,0.38389,0.88509,0.99866,1,0.995,0.94335,0.37589,0.31925,0.89044,0.000905463,0.000905463,0.000905463
72,538.343,0.41325,0.38451,0.89054,0.9988,1,0.995,0.94411,0.37274,0.29082,0.87902,0.000902836,0.000902836,0.000902836
73,546.753,0.41418,0.38728,0.89476,0.99867,1,0.995,0.93504,0.37465,0.32026,0.88031,0.000900176,0.000900176,0.000900176
74,552.983,0.38261,0.36237,0.87683,0.99883,1,0.995,0.94834,0.34717,0.29627,0.8524,0.000897484,0.000897484,0.000897484
75,561.296,0.39034,0.37108,0.91135,0.99886,1,0.995,0.96225,0.33165,0.28534,0.852,0.000894761,0.000894761,0.000894761
76,567.734,0.40626,0.3923,0.88861,0.99872,1,0.995,0.9378,0.3375,0.27793,0.86362,0.000892007,0.000892007,0.000892007
77,576.969,0.39159,0.37596,0.90391,0.99828,1,0.995,0.9387,0.35621,0.28651,0.86785,0.000889221,0.000889221,0.000889221
78,583.482,0.35964,0.33421,0.89322,0.99907,1,0.995,0.95237,0.33862,0.28474,0.85038,0.000886404,0.000886404,0.000886404
79,591.733,0.39675,0.41106,0.8977,0.97471,1,0.9946,0.92197,0.35945,0.2961,0.86072,0.000883557,0.000883557,0.000883557
80,598.245,0.41129,0.40182,0.89742,0.99792,1,0.995,0.92949,0.33762,0.30785,0.85701,0.000880679,0.000880679,0.000880679
81,606.461,0.39983,0.37917,0.88961,0.9962,1,0.995,0.9447,0.34256,0.29428,0.8644,0.00087777,0.00087777,0.00087777
82,613.505,0.41148,0.39688,0.9157,0.995,1,0.995,0.9455,0.38812,0.30246,0.87715,0.000874832,0.000874832,0.000874832
83,621.436,0.41064,0.4187,0.89181,0.99787,1,0.995,0.92406,0.38373,0.32594,0.86398,0.000871864,0.000871864,0.000871864
84,628.074,0.36542,0.39637,0.88587,0.99801,1,0.995,0.92744,0.35341,0.31465,0.85527,0.000868866,0.000868866,0.000868866
85,635.448,0.43553,0.44338,0.91489,1,0.99719,0.995,0.92846,0.35794,0.33406,0.85762,0.000865839,0.000865839,0.000865839
86,642.202,0.37722,0.3623,0.88707,0.99843,1,0.995,0.93675,0.3578,0.29722,0.85303,0.000862783,0.000862783,0.000862783
87,649.125,0.36362,0.3663,0.89366,0.99775,1,0.995,0.93577,0.34786,0.31139,0.85651,0.000859699,0.000859699,0.000859699
88,656.269,0.36255,0.35185,0.87042,0.99672,1,0.995,0.94634,0.35202,0.32601,0.85567,0.000856585,0.000856585,0.000856585
89,663.231,0.37761,0.37606,0.89016,0.99751,1,0.995,0.93903,0.35117,0.31245,0.85144,0.000853443,0.000853443,0.000853443
90,671.827,0.36031,0.33916,0.86918,0.99787,1,0.995,0.94215,0.36212,0.29301,0.8557,0.000850274,0.000850274,0.000850274
