epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,955.7,0.37605,0.355,0.87384,0.99888,1,0.995,0.94073,0.35548,0.27776,0.87036,0.000810141,0.000810141,0.000810141
103,964.898,0.35254,0.31101,0.88352,0.99866,1,0.995,0.95274,0.33557,0.29062,0.86997,0.000806631,0.000806631,0.000806631
104,974.234,0.34449,0.30749,0.87673,0.99824,1,0.995,0.95463,0.33804,0.32616,0.86756,0.000803096,0.000803096,0.000803096
105,982.933,0.3676,0.31921,0.88272,0.99824,1,0.995,0.95084,0.32796,0.29509,0.85996,0.000799536,0.000799536,0.000799536
106,991.309,0.35639,0.3397,0.88161,0.99866,1,0.995,0.96074,0.3147,0.25209,0.8541,0.000795954,0.000795954,0.000795954
107,1000.38,0.37075,0.32823,0.86967,0.99867,1,0.995,0.96824,0.30957,0.24968,0.85526,0.000792347,0.000792347,0.000792347
108,1010.75,0.35305,0.32148,0.88997,0.99865,1,0.995,0.95462,0.30612,0.24246,0.84984,0.000788718,0.000788718,0.000788718
109,1018.72,0.37547,0.35423,0.88994,0.99846,1,0.995,0.95441,0.32419,0.23547,0.85421,0.000785066,0.000785066,0.000785066
110,1029.89,0.36045,0.3401,0.88805,0.99726,1,0.995,0.96121,0.3371,0.24133,0.8547,0.000781391,0.000781391,0.000781391
111,1039.53,0.35807,0.33938,0.8838,0.99874,1,0.995,0.95044,0.33365,0.25068,0.85954,0.000777694,0.000777694,0.000777694
112,1047.89,0.3882,0.34863,0.89516,0.99878,1,0.995,0.9512,0.33359,0.24448,0.86029,0.000773975,0.000773975,0.000773975
113,1057.05,0.36918,0.34884,0.86958,0.99874,1,0.995,0.95625,0.33218,0.26092,0.85943,0.000770234,0.000770234,0.000770234
114,1065.98,0.3315,0.30415,0.85427,0.99881,1,0.995,0.95999,0.31998,0.24354,0.85158,0.000766472,0.000766472,0.000766472
115,1076.57,0.35321,0.32714,0.86575,0.99886,1,0.995,0.95053,0.3276,0.24119,0.85173,0.000762689,0.000762689,0.000762689
116,1085.97,0.33893,0.30337,0.86925,0.99887,1,0.995,0.95682,0.33364,0.23612,0.85225,0.000758885,0.000758885,0.000758885
117,1093.87,0.36129,0.3315,0.8834,0.99879,1,0.995,0.95574,0.33273,0.23557,0.85732,0.000755061,0.000755061,0.000755061
118,1103.04,0.37564,0.34646,0.89629,0.99855,1,0.995,0.96649,0.31014,0.23862,0.85222,0.000751216,0.000751216,0.000751216
119,1112.43,0.36255,0.32466,0.87753,0.99744,1,0.995,0.95021,0.31346,0.24973,0.84811,0.000747352,0.000747352,0.000747352
